Active Inventory (Detail) - Scheduler Report,,,,,,,,,,,,,,,,,,,,,
Ezer auto,,,,,,,,,,,,,,,,,,,,,
3224 N 30th St Omaha NE 68111,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Run By: SYSTEM,,,,,,,,,,,,,,,,,,,,,
Run Date: 11/02/2025 11:04 PM GMT-08:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Vehicle Info,,,,,,,,,,,,,Price,,Cost,,,,Valuation,,Price Proof Points
2012 NISSAN MURANO SL SPORT UTILITY 4D,,,,,,Date In Stock,10/25/2025 (9 Days),,Color,,Location,OMAHA,Retail Price,"$5,000.00",Total Cost,"$3,200.00",,,,,No price proof points available.
Vin,JN8AZ1MW1CW214631,Status,IN INVENTORY,Sale Type,BOTH,Stock #,214631,,Odometer,"156,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"-$1,725.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$4,500.00",Vehicle Cost,"$3,200.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,"$5,000.00",Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
1992 MAZDA MX-5 MIATA CONVERTIBLE 2D,,,,,,Date In Stock,10/01/2025 (33 Days),,Color,BLUE,Location,ROATAN,Retail Price,"$10,000.00",Total Cost,"$6,528.33",,,,,No price proof points available.
Vin,JM1NA3510N0306029,Status,IN INVENTORY,Sale Type,BOTH,Stock #,21,,Odometer,"120,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"$6,528.33",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$10,000.00",Vehicle Cost,"$3,500.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,"$3,028.33",Addt'l Cost,$0.00,,,
Title Status,RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2012 JEEP GRAND CHEROKEE LIMITED SPORT UTILITY 4D,,,,,,Date In Stock,10/01/2025 (33 Days),,Color,,Location,ROATAN,Retail Price,"$20,000.00",Total Cost,"$3,500.00",,,,,No price proof points available.
Vin,,Status,IN INVENTORY,Sale Type,BOTH,Stock #,19,,Odometer,"90,000",Posted Online,No,"0% of Market Price, MDS 0",,Water,$0.00,,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$20,000.00",Vehicle Cost,"$3,500.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
1974 MERCEDES-BENZ 240 SERIES 240D SEDAN ,,,,,,Date In Stock,10/01/2025 (33 Days),,Color,,Location,OMAHA,Retail Price,"$9,000.00",Total Cost,"$6,500.00",,,,,No price proof points available.
Vin,,Status,IN INVENTORY,Sale Type,BOTH,Stock #,20,,Odometer,"60,000",Posted Online,No,"0% of Market Price, MDS 0",,Water,"$6,500.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$9,000.00",Vehicle Cost,"$6,500.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
1960 CHEVROLET BEL AIR 4D HARDTOP ,,,,,,Date In Stock,10/01/2025 (33 Days),,Color,,Location,OMAHA,Retail Price,"$14,000.00",Total Cost,"$7,000.00",,,,,No price proof points available.
Vin,,Status,IN INVENTORY,Sale Type,BOTH,Stock #,18,,Odometer,"69,000",Posted Online,No,"0% of Market Price, MDS 0",,Water,"$7,000.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$14,000.00",Vehicle Cost,"$7,000.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2005 HONDA CR-V EX SPORT UTILITY 4D,,,,,,Date In Stock,09/30/2025 (34 Days),,Color,,Location,OMAHA,Retail Price,"$4,200.00",Total Cost,"$2,000.00",,,,,No price proof points available.
Vin,JHLRD78855C024172,Status,IN INVENTORY,Sale Type,BOTH,Stock #,16,,Odometer,"142,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"$2,000.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$4,200.00",Vehicle Cost,"$2,000.00",Write Down,$0.00,,,
Purchase From,FACEBOOK,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
1988 HONDA PRELUDE SI 2D COUPE 4WS,,,,,,Date In Stock,09/30/2025 (34 Days),,Color,,Location,OMAHA,Retail Price,$0.00,Total Cost,$0.00,,,,,No price proof points available.
Vin,JHMBA4240JC061926,Status,IN INVENTORY,Sale Type,BOTH,Stock #,14,,Odometer,"130,000",Posted Online,No,"0% of Market Price, MDS 0",,Water,$0.00,,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,$0.00,Vehicle Cost,$0.00,Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2014 TOYOTA PRIUS V FIVE WAGON 4D,,,,,,Date In Stock,09/30/2025 (34 Days),,Color,,Location,OMAHA,Retail Price,"$7,990.00",Total Cost,"$3,500.00",,,,,No price proof points available.
Vin,JTDZN3EU1E3362771,Status,IN INVENTORY,Sale Type,BOTH,Stock #,13,,Odometer,"192,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"-$5,650.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$7,990.00",Vehicle Cost,"$3,500.00",Write Down,$0.00,,,
Purchase From,FACEBOOK,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2005 CHEVROLET SILVERADO 1500 CREW CAB LS PICKUP 4D 5 3/4 FT,,,,,,Date In Stock,09/30/2025 (34 Days),,Color,,Location,OMAHA,Retail Price,"$6,500.00",Total Cost,"$3,700.00",,,,,No price proof points available.
Vin,2GCEK13T451348732,Status,IN INVENTORY,Sale Type,BOTH,Stock #,12,,Odometer,"204,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"$3,700.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$6,500.00",Vehicle Cost,"$3,700.00",Write Down,$0.00,,,
Purchase From,THOMAS,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2004 HONDA CIVIC HYBRID SEDAN 4D,,,,,,Date In Stock,09/30/2025 (34 Days),,Color,BLUE,Location,OMAHA,Retail Price,"$4,500.00",Total Cost,"$1,720.00",,,,,No price proof points available.
Vin,JHMES96644S013651,Status,IN INVENTORY,Sale Type,BOTH,Stock #,10,,Odometer,"143,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"$1,720.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$4,500.00",Vehicle Cost,"$1,500.00",Write Down,$0.00,,,
Purchase From,FACEBOOK,Inspection Status,COMPLETE,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$220.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2005 ACURA RL 3.5 SEDAN 4D,,,,,,Date In Stock,09/26/2025 (38 Days),,Color,,Location,OMAHA,Retail Price,"$4,700.00",Total Cost,"$2,400.00",,,,,No price proof points available.
Vin,JH4KB16545C003838,Status,IN INVENTORY,Sale Type,BOTH,Stock #,9,,Odometer,"153,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"$2,400.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$4,700.00",Vehicle Cost,"$2,400.00",Write Down,$0.00,,,
Purchase From,FACEBOOK,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2009 JEEP PATRIOT SPORT UTILITY 4D,,,,,,Date In Stock,09/30/2025 (34 Days),,Color,,Location,ROATAN,Retail Price,"$13,461.00",Total Cost,"$6,212.00",,,,,No price proof points available.
Vin,1J4FF28B69D145957,Status,IN INVENTORY,Sale Type,BOTH,Stock #,8,,Odometer,"98,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,$137.00,,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$13,461.00",Vehicle Cost,"$1,700.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,"$4,512.00",Addt'l Cost,$0.00,,,
Title Status,RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2012 RAM 1500 QUAD CAB SLT PICKUP 4D 6 1/3 FT,,,,,,Date In Stock,09/30/2025 (34 Days),,Color,,Location,ROATAN,Retail Price,"$34,038.00",Total Cost,"$11,988.00",,,,,No price proof points available.
Vin,1C6RD7GT8CS120682,Status,IN INVENTORY,Sale Type,BOTH,Stock #,7,,Odometer,"135,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"-$2,737.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$34,038.00",Vehicle Cost,"$7,500.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,"$4,488.00",,,,,
,,,,,,,,,,,,,,,,,,,,,
2011 JEEP GRAND CHEROKEE LIMITED SPORT UTILITY 4D,,,,,,Date In Stock,09/16/2025 (48 Days),,Color,BLACK / GRAY,Location,ROATAN,Retail Price,"$22,307.00",Total Cost,"$8,578.00",,,,,No price proof points available.
Vin,1J4RR5GG3BC528981,Status,IN INVENTORY,Sale Type,BOTH,Stock #,6,,Odometer,"135,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,-$597.00,,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$22,307.00",Vehicle Cost,"$3,500.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,"$5,078.00",Addt'l Cost,$0.00,,,
Title Status,RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2008 GMC SIERRA 1500 EXTENDED CAB SLE PICKUP 4D 6 1/2 FT,,,,,,Date In Stock,09/27/2025 (37 Days),,Color,RED / GRAY,Location,ROATAN,Retail Price,"$12,000.00",Total Cost,"$6,500.00",,,,,No price proof points available.
Vin,2GTEK19J381206513,Status,IN INVENTORY,Sale Type,BOTH,Stock #,5,,Odometer,"159,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"-$1,875.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$12,000.00",Vehicle Cost,"$6,500.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2009 CHEVROLET SUBURBAN 1500 LT SPORT UTILITY 4D,,,,,,Date In Stock,09/16/2025 (48 Days),,Color,WHITE / GRAY,Location,ROATAN,Retail Price,"$9,700.00",Total Cost,"$5,500.00",,,,,No price proof points available.
Vin,1GNFK26359R166466,Status,IN INVENTORY,Sale Type,BOTH,Stock #,4,,Odometer,"120,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"-$4,800.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$9,700.00",Vehicle Cost,"$5,500.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2014 JEEP CHEROKEE LATITUDE SPORT UTILITY 4D,,,,,,Date In Stock,07/16/2025 (110 Days),,Color,GOLD / GRAY,Location,ROATAN,Retail Price,"$18,461.00",Total Cost,"$8,675.00",,,,,No price proof points available.
Vin,1C4PJMCS9EW220936,Status,IN INVENTORY,Sale Type,BOTH,Stock #,3,,Odometer,"96,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"-$2,050.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$18,461.00",Vehicle Cost,"$3,500.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,"$5,175.00",Addt'l Cost,$0.00,,,
Title Status,RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2006 NISSAN XTERRA S SPORT UTILITY 4D,,,,,,Date In Stock,09/01/2025 (63 Days),,Color,WHITE / GRAY,Location,ROATAN,Retail Price,"$13,846.00",Total Cost,"$6,508.00",,,,,No price proof points available.
Vin,5N1AN08W36C515527,Status,IN INVENTORY,Sale Type,BOTH,Stock #,2,,Odometer,"123,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,-$355.00,,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$13,846.00",Vehicle Cost,"$1,700.00",Write Down,$0.00,,,
Purchase From,FACEBOOK,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,"$4,808.00",Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2012 CHEVROLET SILVERADO 1500 EXTENDED CAB LT PICKUP 4D 6 1/2 FT,,,,,,Date In Stock,09/22/2025 (42 Days),,Color,BLACK / GRAY,Location,ROATAN,Retail Price,"$15,000.00",Total Cost,"$8,921.33",,,,,No price proof points available.
Vin,1GCRKSE76CZ218530,Status,IN INVENTORY,Sale Type,BOTH,Stock #,1,,Odometer,"202,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,$256.33,,,,,
Purchase Type,,Custom Status,BIG O MOTORS,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$15,000.00",Vehicle Cost,"$4,000.00",Write Down,$0.00,,,
Purchase From,BIG O MOTORS,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,"$4,921.33",Addt'l Cost,$0.00,,,
Title Status,RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
# of Vehicles,19,Vehicle Price,,Vehicle Cost,,Added Costs,,Total Write Downs,,Total Cost,,,,,,,,,,,
Avg Days on Lot,40,"$224,703.00","$11,826.47","$70,700.00","$3,721.05","$32,230.66","$1,696.35",$0.00,$0.00,"$102,930.66","$5,417.40",,,,,,,,,,
,,Sum,Average,Sum,Average,Sum,Average,Sum,Average,Sum,Average,,,,,,,,,,